ETL,ETL-2,Perovskite,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,PCEbest,Cs,MA,FA,Rb,Pb,Sn,I,Br,Cl,Bandgap
cTiO2,mTiO2-Au,MAPbI3,one-step,spin2-3,chlorobenzene,DMSO+GBL,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,TiOx,MAPbI3,one-step,spin2-3,toluene,DMSO+GBL,NiOx,0,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,two-step,spray,no,DMSO,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMSO+GBL,Spiro-OMeTAD,Li+TBP,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
PCBM+C60,BCP,MAPbI3,one-step,spin,no,DMF+H2O,PEDOT:PSS,0,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,FAPbI3,one-step,spin,no,DMF+HI,Spiro-OMeTAD,Li+TBP,0,0,0,0,16,0,0,1,0,1,0,1,0,0,1.50607803
TiO2,no,MAPbI3,two-step,spin-dip,no,DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,toluene,DMSO,Spiro-OMeTAD,Li+TBP+FK102,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-contact,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,FAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,16,0,0,1,0,1,0,1,0,0,1.50607803
SnO2,ZnO,CsPbI2Br,one-step,spin2-3,no,DMF+DMSO,PM6/MoO3,0,0,0,0,0,16.06,1,0,0,0,1,0,0.666666667,0.333333333,0,1.888929762
asg-ZnO,no,Cs0.1FA0.9PbI3,one-step,spin,diethylether,DMF+DMSO,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,Cl,16.06,0.1,0,0.9,0,1,0,1,0,0,1.513616667
TiO2,mAl2O3-Cu:NiO,FA0.044MA0.956PbI3-yCly,one-step,spin,no,no,Spiro-OMeTAD,Li+TBP,0,0,Cu:NiO,Cl,16.08,0,0.956,0.044,0,1,0,1,0,0,1.532473565
SnO2-EDTAK,no,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,two-step,spin-spin,no,DMF+DMSO+IPA,SpiroOMeTAD/P3HT,Li+TBP,0,0,EAMA,0,16.1,0.05,0.41,0.54,0,1,0,0.98,0.02,0,1.577742554
cTiO2,TiO2-SWCNTs,MAPbI3,one-step,spin2-3,chlorobenzene,DMSO,Spiro-OMeTAD,Li+TBP+FK102,0,0,0,0,16.1,0,1,0,0,1,0,1,0,0,1.530113848
Wox,C60,MAPbI3,one-step,spin,no,GBL+NMP,Spiro-OMeTAD,Li+TBP,0,0,0,0,16.1,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,16.1,0,1,0,0,1,0,1,0,0,1.530113848
PCBM+C60,BCP,MAPbI3,one-step,spin,no,GBL,PTAA,0,0,0,0,0,16.1,0,1,0,0,1,0,1,0,0,1.530113848
ZnO,no,FAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,16.1,0,0,1,0,1,0,1,0,0,1.50607803
cTiO2,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,16.1,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,Bphen,MAPbI3,one-step,spin,no,DMF+H2O,PEDOT:PSS,0,0,0,0,Cl,16.1,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,SnO2,CsPbI2Br,one-step,spin,chlorobenzene,DMSO,PM7,0,0,0,PT,0,16.14,1,0,0,0,1,0,0.666666667,0.333333333,0,1.888929762
BCP,PC60BM,Cs0.025FA0.475MA0.5Sn0.5Pb0.5I3,one-step,spin2-3,chlorobenzene,DMF+DMSO,PEDOT:PSS,0,0,0,0,0,16.14,0.025,0.5,0.475,0,0.5,0.5,1,0,0,1.22714
TiO2,no,CsPbI2Br,one-step,spin2-3,no,DMSO,PTAA,TPFPB,0,0,0,0,16.14,1,0,0,0,1,0,0.666666667,0.333333333,0,1.888929762
SnO2,C60,MAPbI3,one-step,spin2-3,toluene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,PEO,0,0,0,16.14,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3-Cu:NiO,MAPbI3,one-step,spin,no,no,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,16.2,0,1,0,0,1,0,1,0,0,1.530113848
SnO2,no,CsPbI3,one-step,spin2-3,no,DMF+DMSO,MoO3,0,PDCBT,PN4N,0,0,16.2,1,0,0,0,1,0,1,0,0,1.686142745
cTiO2,mTiO2-Li,MAPbI3,one-step,spin,diethylether,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,16.2,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,PEI,MAPbI3,one-step,spin,no,DMF+3F+PC61BM,PEDOT:PSS,0,0,0,0,0,16.2,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2-Li,MAPbI3,one-step,spin,diethylether,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,16.2,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3,MAPbI3,one-step,spin,no,DMF+H3P,SWNT-PMMA,0,0,0,0,Cl,16.2,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,16.2,0,1,0,0,1,0,1,0,0,1.530113848
