ETL,ETL-2,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,Cs,MA,FA,Rb,Pb,Sn,I,Br,Bandgap,PCEbest
133,87,1,29,30,2,201,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.0
92,105,1,29,30,14,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,3.5
92,105,1,33,5,2,179,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.6
133,56,0,23,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.1
133,87,1,29,30,42,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.6
133,87,0,35,5,64,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.55
92,105,0,23,30,85,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.6
133,53,0,35,30,63,179,25,0,0,35,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,14.4
10,8,0,12,30,2,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,0.9
133,87,0,35,5,14,179,25,0,0,1,0,0.03,0.21,0.76,0.0,1.0,0.0,0.89,0.11,1.639367143,17.0
