ETL,ETL-2,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,Cs,MA,FA,Rb,Pb,Sn,I,Br,Bandgap,PCEbest
92,105,0,23,30,2,179,25,0,0,57,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,17.09
92,83,0,23,30,2,92,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.275418182,0.5
10,8,0,23,20,14,24,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.0
92,40,0,35,5,14,179,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.46
133,87,0,35,5,14,179,25,0,0,1,1,0.05,0.1,0.85,0.0,1.0,0.0,0.97,0.03,1.541113333,20.9
133,87,0,35,32,28,138,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.275418182,5.9
138,87,0,23,30,75,92,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,1.3
133,87,0,35,5,14,40,0,0,0,1,1,0.0,0.17,0.83,0.0,1.0,0.0,0.83,0.17,1.654738961,14.87
78,105,0,35,20,14,179,25,0,0,12,0,0.05,0.15,0.8,0.0,1.0,0.0,0.8361,0.1639,1.605675184,19.78
133,93,0,23,33,14,213,34,0,0,1,0,0.1,0.135,0.765,0.0,1.0,0.0,0.85,0.15,1.606233361,16.3
133,87,1,29,30,2,138,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,6.0
78,87,1,29,30,85,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,7.3
92,105,0,23,30,14,138,25,0,0,63,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,16.52
54,105,0,23,5,14,84,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.0
38,105,0,23,30,64,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.5
133,93,0,23,33,14,211,34,0,0,1,0,0.1,0.135,0.765,0.0,1.0,0.0,0.85,0.15,1.606233361,18.9
92,105,1,29,30,2,198,51,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.0
133,87,0,23,5,14,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.7
133,87,0,23,30,23,179,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.333333333,1.888929762,8.0
78,105,0,35,30,63,111,0,0,0,1,0,0.05,0.1615,0.7885,0.0,1.0,0.0,0.95,0.05,1.561952857,22.2
42,70,0,23,30,2,113,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.8
133,61,0,23,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.649999999999999
133,87,0,23,30,2,162,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,7.5
53,70,0,23,30,2,113,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.02
26,105,0,35,5,14,179,25,0,0,1,1,0.04,0.1536,0.8064,0.0,1.0,0.0,0.84,0.16,1.600371672,22.2
133,87,0,23,18,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,19.1
131,105,0,35,5,14,100,0,0,0,1,1,0.05,0.1615,0.7885,0.0,1.0,0.0,0.83,0.17,1.629287024,19.12
133,87,0,23,30,75,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.275418182,1.4
92,40,1,38,30,85,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.6
10,8,0,23,5,2,35,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.1
53,105,0,23,5,2,40,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.766666666666666
92,84,0,23,30,86,179,25,0,0,32,1,0.0,0.984,0.016,0.0,1.0,0.0,1.0,0.0,1.530113848,19.6
10,8,0,35,5,14,138,12,0,45,1,1,0.0,0.2,0.8,0.0,0.8,0.2,1.0,0.0,1.34979,19.58
78,105,0,35,27,14,180,25,0,38,1,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,20.145
133,87,1,29,30,85,58,33,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.8
78,105,0,23,30,2,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.7
92,83,1,29,30,2,237,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,1.1
6,13,0,23,5,63,113,0,0,0,41,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.328415,6.8
6,13,0,35,5,63,113,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.328415,6.4
92,83,0,23,30,2,193,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.275418182,0.7
133,87,1,29,30,2,179,25,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,13.5
78,105,0,23,5,14,179,25,6,0,1,0,0.049,0.0,0.931,0.02,1.0,0.0,0.99,0.01,1.53475,21.68
78,105,0,35,5,14,176,41,0,0,1,0,0.05,0.2,0.75,0.0,1.0,0.0,0.75,0.25,1.700817857,19.78
133,53,0,23,20,14,179,34,0,45,1,1,0.0,0.4,0.6,0.0,1.0,0.0,1.0,0.0,1.571951249,24.02
53,105,0,23,30,2,123,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.3
92,105,0,23,30,2,92,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.4
